'18';'../img/ea30c5_rolandoboletin.png';'Activo';'info@rolandozapatamail.org';'Rolando Zapata Bello';'Rolando Zapata: Compromisos por Yucatán  ';'2012-05-03'
'15';'../img/14a123_enrolados.jpg';'Activo';'info@rolandozapatamail.org';'Rolando Zapata Bello';'Te invito a Enrolarte a mi aplicación de Facebook';'2012-05-01'
'16';'../img/f9668f_enrolados.jpg';'Activo';'info@rolandozapatamail.org';'Rolando';'Te invito a Enrolarte en mi aplicación de Facebook';'2012-05-01'
'17';'../img/9c78e6_mailing1.png';'Activo';'info@rolandozapatamail.org';'Rolando Zapata Bello';'Boletín Semanal:Rolando Zapata, inicia su recorrido por Yucatán';'2012-05-02'
'8';'../img/446bba_general_1.jpg';'Activo';'info@rolandozapatamail.org';'Rolando Zapata Bello';'Boletín Semanal: Conoce a Rolando';'2012-04-09'
'9';'../img/7c45ed_rzb_1.jpg';'Activo';'info@rolandozapatamail.org';'Rolando Zapata Bello';'Rolando Zapata hace declaración de bienes patrimoniales';'2012-04-13'
'11';'../img/bdf695_general_1.jpg';'Activo';'info@rolandozapatamail.org';'Rolando Zapata Bello';'Boletín Semanal: Conoce a Rolando';'2012-04-13'
'12';'../img/aacb72_general4.png';'Activo';'info@rolandozapatamail.org';'Rolando Zapata Bello';'CONOCE A ROLANDO - BOLETÍN SEMANAL ';'2012-04-18'
'13';'../img/1530a9_general5.jpg';'Activo';'info@rolandozapatamail.org';'Rolando Zapata Bello';'Rolando tus juguetes';'2012-04-21'
'14';'../img/847486_mailing1.png';'Activo';'info@rolandozapatamail.org';'Rolando Zapata Bello';'Boletín Semanal: Conoce a Rolando';'2012-04-25'
'19';'../img/9a4e74_propuestas.jpg';'Activo';'nfo@roladozapatamail.org';'Rolando Zapata Bello';'TE MANDO MIS PROPUESTAS_ROLANDO ZAPATA BELLO';'2012-05-08'
